policy,buffer_size,repetition,query,elapsed_ms,result_rows,hit_count,miss_count,operation_count,hit_ratio_percent,pages_in_buffer,valid_stats,error
"LRU",32,1,"q01",35,8,12,2,14,85.7143,2,true,""
"LRU",32,1,"q02",0,30,36,3,39,92.3077,5,true,""
"LRU",32,1,"q03",42,52,593,6,599,98.9983,11,true,""
"LRU",32,1,"q04",16,11,287,296,583,49.2281,32,true,""
"LRU",32,1,"q05",50,47,1467,3028,4495,32.6363,32,true,""
"LRU",32,1,"q06",215,738,9459,12069,21528,43.9381,32,true,""
"LRU",32,1,"q07",158,738,9459,12069,21528,43.9381,32,true,""
"LRU",32,1,"q08",37,276,9850,241,10091,97.6117,32,true,""
"LRU",32,1,"q09",35,276,9850,241,10091,97.6117,32,true,""
"LRUK",32,1,"q01",31,8,12,2,14,85.7143,2,true,""
"LRUK",32,1,"q02",1,30,36,3,39,92.3077,5,true,""
"LRUK",32,1,"q03",43,52,593,6,599,98.9983,11,true,""
"LRUK",32,1,"q04",28,11,271,312,583,46.4837,32,true,""
"LRUK",32,1,"q05",80,47,1332,3163,4495,29.6329,32,true,""
"LRUK",32,1,"q06",435,738,6629,14899,21528,30.7925,32,true,""
"LRUK",32,1,"q07",305,738,6575,14953,21528,30.5416,32,true,""
"LRUK",32,1,"q08",136,276,7274,2817,10091,72.0840,32,true,""
"LRUK",32,1,"q09",113,276,7274,2817,10091,72.0840,32,true,""
"MRU",32,1,"q01",34,8,12,2,14,85.7143,2,true,""
"MRU",32,1,"q02",0,30,36,3,39,92.3077,5,true,""
"MRU",32,1,"q03",49,52,593,6,599,98.9983,11,true,""
"MRU",32,1,"q04",22,11,278,305,583,47.6844,32,true,""
"MRU",32,1,"q05",60,47,1278,3217,4495,28.4316,32,true,""
"MRU",32,1,"q06",398,738,6504,15024,21528,30.2118,32,true,""
"MRU",32,1,"q07",312,738,6504,15024,21528,30.2118,32,true,""
"MRU",32,1,"q08",101,276,8733,1358,10091,86.5425,32,true,""
"MRU",32,1,"q09",95,276,8731,1360,10091,86.5226,32,true,""
"FIFO",32,1,"q01",31,8,12,2,14,85.7143,2,true,""
"FIFO",32,1,"q02",0,30,36,3,39,92.3077,5,true,""
"FIFO",32,1,"q03",39,52,593,6,599,98.9983,11,true,""
"FIFO",32,1,"q04",19,11,285,298,583,48.8851,32,true,""
"FIFO",32,1,"q05",55,47,1457,3038,4495,32.4138,32,true,""
"FIFO",32,1,"q06",233,738,9385,12143,21528,43.5944,32,true,""
"FIFO",32,1,"q07",174,738,9385,12143,21528,43.5944,32,true,""
"FIFO",32,1,"q08",41,276,9840,251,10091,97.5126,32,true,""
"FIFO",32,1,"q09",42,276,9840,251,10091,97.5126,32,true,""
"LRU",64,1,"q01",29,8,12,2,14,85.7143,2,true,""
"LRU",64,1,"q02",0,30,36,3,39,92.3077,5,true,""
"LRU",64,1,"q03",41,52,593,6,599,98.9983,11,true,""
"LRU",64,1,"q04",16,11,287,296,583,49.2281,64,true,""
"LRU",64,1,"q05",49,47,1475,3020,4495,32.8142,64,true,""
"LRU",64,1,"q06",249,738,9574,11954,21528,44.4723,64,true,""
"LRU",64,1,"q07",170,738,9574,11954,21528,44.4723,64,true,""
"LRU",64,1,"q08",42,276,9855,236,10091,97.6613,64,true,""
"LRU",64,1,"q09",39,276,9855,236,10091,97.6613,64,true,""
"LRUK",64,1,"q01",33,8,12,2,14,85.7143,2,true,""
"LRUK",64,1,"q02",1,30,36,3,39,92.3077,5,true,""
"LRUK",64,1,"q03",51,52,593,6,599,98.9983,11,true,""
"LRUK",64,1,"q04",20,11,338,245,583,57.9760,64,true,""
"LRUK",64,1,"q05",71,47,1382,3113,4495,30.7453,64,true,""
"LRUK",64,1,"q06",420,738,6661,14867,21528,30.9411,64,true,""
"LRUK",64,1,"q07",292,738,6671,14857,21528,30.9876,64,true,""
"LRUK",64,1,"q08",122,276,7274,2817,10091,72.0840,64,true,""
"LRUK",64,1,"q09",105,276,7274,2817,10091,72.0840,64,true,""
"MRU",64,1,"q01",29,8,12,2,14,85.7143,2,true,""
"MRU",64,1,"q02",1,30,36,3,39,92.3077,5,true,""
"MRU",64,1,"q03",41,52,593,6,599,98.9983,11,true,""
"MRU",64,1,"q04",17,11,342,241,583,58.6621,64,true,""
"MRU",64,1,"q05",64,47,1278,3217,4495,28.4316,64,true,""
"MRU",64,1,"q06",435,738,6504,15024,21528,30.2118,64,true,""
